Date,eNodeB Name,Cell FDD TDD Indication,Cell Name,LocalCell Id,eNodeB Function Name,Integrity,Radio Net Availability Rate(%),RRC Setup Success Rate(all),RRC Setup Success Rate(Service)[%],RRC Setup Success Rate(Signal)[%],E-RAB Setup Success Rate (ALL)(%),Call Drop Rate (All)(%),HO Success Rate(Intra Freqency),HO Success Rate(S1)[%],Paging Transfer Success Rate,Total Traffic (Gbit),DL Traffic Volume(Gbit),UL Traffic Volume(Gbit),L.Traffic.User.Avg,L.Traffic.User.Max,User DL PDCP Average Throughput,User UL PDCP Average Throughput,DL IBLER[%],UL IBLER[%],DL ReTrans Rate[%],DL Packet Loss Rate(all),UL Packet Loss Rate(all),DL PRB Usage Rate(%),UL PRB Usage Rate(%),PUCCHUsage Rate[%],PDCCH CCE Usage Rate[%],Average CQI,Average PDSCH MCS
1/9/2025,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_6,6,MSH0013-Bindura-Zaoga,100%,100,99.4925,99.7266,96.4758,99.7296,1.6097,98.6722,98.6963,100.0003,282.5767,258.176,24.4007,4.0854,14,7.8094,3.9521,12.9301,4.8457,0.1702,0,0,30.9643,45.3809,1.0213,24.4559,9.453,9.7633
1/9/2025,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_5,5,MSH0013-Bindura-Zaoga,100%,100,99.6676,99.8339,98.1424,99.5913,2.0301,98.4527,98.7554,100.0007,781.7861,696.7416,85.0446,33.2915,90,5.1774,3.9927,14.5511,7.3354,0.1709,0,0.0001,52.3507,59.6863,8.3229,41.2995,10.4421,13.3505
1/9/2025,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_4,4,MSH0013-Bindura-Zaoga,100%,100,97.9381,98.9014,92.6261,98.88,2.7404,98.688,98.9099,100.0003,640.3633,589.555,50.8084,23.9868,158,6.1149,2.1447,17.2118,13.4365,0.2075,0,0.0001,55.5162,47.927,5.9967,47.557,9.4637,12.2534
1/9/2025,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_3,3,MSH0013-Bindura-Zaoga,100%,100,99.8973,99.9458,99.0244,99.9194,1.299,99.169,99.3072,100.0003,659.4268,589.8018,69.625,5.9548,16,8.1258,7.6838,11.1115,2.9313,0.1339,0,0,43.826,46.1479,1.4887,28.0191,9.8469,11.0662
1/9/2025,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_2,2,MSH0013-Bindura-Zaoga,100%,100,99.7872,99.8923,98.7913,99.591,1.6228,98.3092,98.8944,100.0003,1027.1822,933.246,93.9362,31.0412,77,4.9804,3.6669,14.6098,6.5901,0.1711,0,0.0001,61.2568,56.0299,7.7603,39.1794,10.2758,12.0278
1/9/2025,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_1,1,MSH0013-Bindura-Zaoga,100%,100,98.3936,99.4379,93.599,99.0782,2.322,97.5749,98.4579,100.0003,819.3883,754.7215,64.6669,21.1062,164,6.0095,2.9542,15.5969,9.5112,0.1893,0,0.0001,59.5005,51.709,5.2766,42.2105,9.4836,10.9076
1/9/2025,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_6,6,MSH-0331-Chiwaridzo 2_LTE,100%,99.9998,99.2301,99.7257,95.9155,99.4415,1.0038,99.9138,99.9316,99.9955,806.7163,711.778,94.9383,18.6309,57,5.1174,5.669,16.9211,5.0789,0.1897,0,0,58.1428,54.6407,4.6577,42.9769,10.2948,13.4206
1/9/2025,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_5,5,MSH-0331-Chiwaridzo 2_LTE,100%,99.9998,99.1792,99.6933,95.9897,99.6702,1.4189,99.7945,99.8037,99.9951,1226.3092,1101.942,124.3672,20.3825,60,8.3581,6.012,16.2122,4.8966,0.1795,0,0,57.6767,59.3588,5.0956,41.8915,9.3493,15.2505
1/9/2025,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_4,4,MSH-0331-Chiwaridzo 2_LTE,100%,99.9998,98.8438,98.976,97.697,99.6479,0.729,99.8301,99.8572,99.9951,1267.8963,1161.6538,106.2425,34.054,76,5.9601,3.9372,16.5699,6.6055,0.1889,0,0,67.8334,55.6125,8.5135,53.9036,11.2489,15.7035
1/9/2025,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_3,3,MSH-0331-Chiwaridzo 2_LTE,100%,99.9998,99.8701,99.9525,98.6986,99.7081,0.6434,99.9209,99.9572,99.9951,944.8126,834.4901,110.3225,19.6867,62,4.9867,5.9707,17.5411,4.8456,0.1942,0,0.0001,64.9529,54.4605,4.9217,37.5611,10.2319,12.8793
1/9/2025,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_2,2,MSH-0331-Chiwaridzo 2_LTE,100%,99.9998,99.7677,99.9693,96.2741,99.8367,1.603,99.823,99.9403,99.9955,853.6886,767.27,86.4186,19.6473,52,5.9264,5.091,16.2664,5.4634,0.1812,0,0,55.4834,52.1463,4.9118,32.0411,10.3661,14.5063
1/9/2025,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_1,1,MSH-0331-Chiwaridzo 2_LTE,100%,99.9998,98.9717,99.0092,98.3248,99.83,0.8029,99.9185,99.9522,99.9955,1363.8757,1236.2021,127.6735,38.5598,85,5.1375,4.4909,16.6187,6.3034,0.1843,0,0,70.2665,55.7097,9.6399,45.8664,11.1227,14.774
1/9/2025,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_1,1,MSH-0112-Bindura Hospital_LTE,100%,100,99.9529,99.9977,99.9066,99.9237,0.0664,99.8365,99.9458,100.0003,412.7652,369.5846,43.1806,8.5333,20,11.0426,5.8388,13.5956,2.8952,0.1637,0,0,25.4979,44.6226,2.1333,18.4588,11.7225,15.2045
1/9/2025,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_2,2,MSH-0112-Bindura Hospital_LTE,100%,100,99.7964,99.9912,97.4359,99.8599,0.4086,100,99.9879,99.9983,757.837,707.6472,50.1898,8.8792,20,12.8008,4.1681,15.2462,3.1859,0.1696,0,0,31.7132,44.8493,2.2198,19.2471,10.738,15.7874
1/9/2025,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_3,3,MSH-0112-Bindura Hospital_LTE,100%,100,99.8575,99.9664,98.5832,99.8304,0.615,99.9373,99.8464,100,853.6461,790.8838,62.7623,20.8678,41,7.703,3.7766,16.1202,4.4308,0.181,0,0,53.0034,50.4849,5.2169,31.5627,11.0351,13.4871
1/9/2025,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_4,4,MSH-0112-Bindura Hospital_LTE,100%,100,99.4077,99.97,97.7543,99.7519,0.51,100,99.9381,100,615.6955,538.5571,77.1384,11.7726,24,9.4346,6.1416,11.6633,2.5102,0.1315,0,0,28.2658,50.9821,2.9432,24.3838,12.9697,20.1129
1/9/2025,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_5,5,MSH-0112-Bindura Hospital_LTE,100%,100,99.5598,99.9839,97.0782,99.7937,0.4851,99.943,99.964,100,418.9552,366.6796,52.2756,7.5553,17,9.982,6.5725,14.4444,2.558,0.1608,0,0,23.1272,45.838,1.8888,20.9109,9.8771,14.5213
1/9/2025,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_6,6,MSH-0112-Bindura Hospital_LTE,100%,100,99.7772,99.936,98.5476,99.7221,1.2012,99.907,99.9281,100,822.5182,763.3015,59.2167,18.5833,39,7.8916,3.4913,16.3342,5.0746,0.1885,0,0,49.8724,51.8553,4.6458,38.3544,10.7568,12.1143
1/9/2025,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_6,6,MSH-0014-Chipadze,91%,99.9987,98.4451,99.7812,91.9172,99.8063,2.0166,99.0958,99.1876,99.997,783.6819,681.0782,102.6037,14.6668,29,6.3407,8.0637,16.9539,4.1722,0.1803,0,0,55.9044,62.7616,3.6667,26.1465,9.8189,15.3818
1/9/2025,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_5,5,MSH-0014-Chipadze,91%,99.9987,98.811,99.6682,95.4,99.3857,2.5524,98.5542,98.7718,99.997,424.3856,383.7101,40.6755,19.4639,53,2.4327,2.0484,18.0562,10.1771,0.2001,0,0,60.2038,61.3471,4.866,31.16,7.8915,10.594
1/9/2025,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_4,4,MSH-0014-Chipadze,91%,99.9987,99.3562,99.8889,96.5427,99.7593,2.0175,98.0151,98.174,99.997,331.8807,302.0903,29.7905,15.1632,47,5.8601,3.8399,17.3151,5.8194,0.1952,0,0,33.7049,54.1344,3.7908,21.5718,10.0919,13.2202
1/9/2025,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_3,3,MSH-0014-Chipadze,91%,99.9987,98.5066,99.9031,89.7213,99.7425,2.3153,99.5997,99.6815,99.997,962.6949,845.7684,116.9265,16.8994,35,6.8911,7.9259,15.8578,3.5031,0.1753,0,0,57.0777,63.2138,4.2248,22.5878,9.5448,13.2423
1/9/2025,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_2,2,MSH-0014-Chipadze,91%,99.9987,99.0713,99.7012,94.7217,99.5556,1.7262,99.4813,99.5169,99.9974,512.0725,462.0508,50.0216,23.2098,46,3.5942,2.3173,17.9677,7.9223,0.1984,0,0,51.2153,60.2922,5.8025,21.1407,8.637,10.1804
1/9/2025,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_1,1,MSH-0014-Chipadze,91%,99.9987,99.7531,99.9879,98.4522,99.7164,2.0504,98.8636,99.0122,99.9974,472.285,428.1113,44.1737,14.8533,39,8.0904,5.1433,16.8998,5.893,0.1933,0,0,32.1972,52.5818,3.7133,16.1947,10.9332,12.5634
2/9/2025,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_6,6,MSH0013-Bindura-Zaoga,100%,100,99.578,99.9201,94.8718,99.7629,1.6543,98.4716,98.4953,99.9993,315.2591,292.7256,22.5335,6.0615,18,4.8302,2.8117,14.6982,5.4852,0.1916,0,0,41.3951,46.847,1.5154,30.4156,9.7665,9.3916
2/9/2025,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_5,5,MSH0013-Bindura-Zaoga,100%,100,99.5573,99.7922,97.9628,99.4191,1.852,99.1224,99.2238,99.9993,1028.8566,900.9021,127.9545,32.3289,81,5.5368,5.149,14.0197,7.2133,0.1637,0,0,62.4607,61.0691,8.0822,45.8963,10.3167,13.7917
2/9/2025,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_4,4,MSH0013-Bindura-Zaoga,100%,100,97.9371,98.7592,94.4066,98.2506,3.3919,98.3262,98.6875,99.9993,578.7369,509.7402,68.9967,33.221,149,4.6699,2.6513,18.7892,14.1324,0.2253,0,0.0005,52.9676,49.6683,8.3052,50.2936,9.6461,11.6412
2/9/2025,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_3,3,MSH0013-Bindura-Zaoga,100%,100,99.9458,100,98.9247,99.9811,0.6643,97.9798,98.3051,99.9993,791.4551,692.0934,99.3617,8.8609,19,6.4515,8.9782,12.973,3.3073,0.1586,0,0,56.7819,51.3176,2.2152,35.2971,10.0288,10.1543
2/9/2025,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_2,2,MSH0013-Bindura-Zaoga,100%,100,99.7283,99.8771,98.6751,99.645,1.6432,98.8544,99.1844,99.9993,1269.0287,1156.7302,112.2986,33.6054,80,5.3641,4.6854,13.4062,6.0684,0.1544,0,0,65.7322,54.0384,8.4013,39.7749,10.1913,13.1509
2/9/2025,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_1,1,MSH0013-Bindura-Zaoga,100%,100,98.5553,99.411,94.5443,99.0486,3.3222,98.267,98.2291,100.0007,742.2741,671.1409,71.1331,33.1658,156,4.579,3.1729,19.4562,11.5273,0.237,0,0.0002,61.349,49.0245,8.2915,46.333,9.301,9.8041
2/9/2025,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_6,6,MSH-0331-Chiwaridzo 2_LTE,95%,99.9998,99.6269,99.8762,97.906,99.514,1.2473,99.7896,99.8368,100.0019,875.7512,782.6729,93.0783,17.9151,43,4.6922,4.9205,17.6936,5.3601,0.2009,0,0,68.0301,57.4153,4.4788,50.8339,9.936,13.4381
