


Save Time :2026-04-30 12:19:27
User Name :fmboma

Date,eNodeB Name,Cell FDD TDD Indication,Cell Name,LocalCell Id,eNodeB Function Name,Integrity,Radio Net Availability Rate(%),RRC Setup Success Rate(all),RRC Setup Success Rate(Service)[%],RRC Setup Success Rate(Signal)[%],E-RAB Setup Success Rate (ALL)(%),Call Drop Rate (All)(%),HO Success Rate(Intra Freqency),HO Success Rate(S1)[%],Paging Transfer Success Rate,Total Traffic (Gbit),DL Traffic Volume(Gbit),UL Traffic Volume(Gbit),L.Traffic.User.Avg,L.Traffic.User.Max,User DL PDCP Average Throughput,User UL PDCP Average Throughput,DL IBLER[%],UL IBLER[%],DL ReTrans Rate[%],DL Packet Loss Rate(all),UL Packet Loss Rate(all),DL PRB Usage Rate(%),UL PRB Usage Rate(%),PUCCHUsage Rate[%],PDCCH CCE Usage Rate[%],Average CQI,Average PDSCH MCS,Data Access Time (ms),Total Cell Unavail Duration(s)
2026-04-23,HRE-0325-Hatfield 2,CELL_TDD,Hatfield 2_LTE_6,6,HRE-0325-Hatfield 2,100%,100,98.4753,99.9074,91.4155,99.7077,1.0917,100,100,99.9962,706.5567,596.6314,109.9254,7.1105,14,9.6558,9.3201,11.437,3.7813,0.124,0,0,43.3517,55.9618,1.7776,34.3656,9.9867,11.5149,2.0973,0
2026-04-23,HRE-0325-Hatfield 2,CELL_TDD,Hatfield 2_LTE_5,5,HRE-0325-Hatfield 2,100%,100,99.2949,99.9284,94.8232,99.8483,0.7313,100,100,99.9962,546.1291,505.3558,40.7732,6.1178,13,10.1177,4.3941,11.1268,3.2718,0.1251,0,0,45.0011,48.3243,1.5294,28.2995,9.2301,12.6029,2.3223,0
2026-04-23,HRE-0325-Hatfield 2,CELL_TDD,Hatfield 2_LTE_4,4,HRE-0325-Hatfield 2,100%,100,95.3209,99.6528,86.1263,99.1667,1.3589,100,100,99.9962,741.7776,660.1745,81.603,9.9542,18,6.2024,4.9235,12.8478,6.4871,0.1499,0,0,54.851,52.9116,2.4885,36.8107,9.3313,12.6991,2.3495,0
2026-04-23,HRE-0325-Hatfield 2,CELL_TDD,Hatfield 2_LTE_3,3,HRE-0325-Hatfield 2,100%,100,99.0268,99.9257,95.6739,99.7081,1.7462,99.6918,99.7199,99.9962,918.9817,854.9046,64.077,8.2252,19,16.4697,4.4986,11.2972,3.812,0.126,0,0,37.563,51.6464,2.0563,27.5089,10.2577,14.5132,2.1011,0
2026-04-23,HRE-0325-Hatfield 2,CELL_TDD,Hatfield 2_LTE_2,2,HRE-0325-Hatfield 2,100%,100,99.8651,99.9865,98.6376,99.8798,0.3626,99.696,99.7167,99.9962,1200.78,1148.6657,52.1142,8.093,17,14.0778,5.0121,9.7242,2.4984,0.1144,0,0,48.4405,45.5529,2.0233,27.0073,8.5395,12.2537,1.9638,0
2026-04-23,HRE-0325-Hatfield 2,CELL_TDD,Hatfield 2_LTE_1,1,HRE-0325-Hatfield 2,100%,100,96.3639,99.6926,90.4196,99.2312,1.6326,100,100,99.9972,1133.7187,1051.5419,82.1769,15.4067,25,8.2841,3.6694,12.4417,6.1355,0.1437,0,0,55.468,55.6464,3.8517,31.934,9.5655,13.6966,2.2832,0
2026-04-23,HRE-0034-Dzivarasekwa Main,CELL_TDD,Dzivarasekwa Main_LTE_6,6,HRE-0034-Dzivarasekwa Main,100%,100,98.6777,99.578,92.4395,99.2909,1.8729,98.9329,99.2056,100.0005,723.1032,661.568,61.5351,29.6162,63,4.3552,2.778,17.102,10.6259,0.2079,0,0.0001,67.9253,51.135,7.404,53.8173,10.1414,10.9894,3.2559,0
2026-04-23,HRE-0034-Dzivarasekwa Main,CELL_TDD,Dzivarasekwa Main_LTE_5,5,HRE-0034-Dzivarasekwa Main,100%,100,98.911,99.8867,92.1569,99.7453,0.665,99.5516,99.5904,100.0005,435.502,400.2854,35.2166,7.9189,21,4.8494,2.5848,18.7873,6.4571,0.2454,0,0,61.0224,50.9689,1.9797,41.7192,9.0605,6.8611,2.6984,0
2026-04-23,HRE-0034-Dzivarasekwa Main,CELL_TDD,Dzivarasekwa Main_LTE_4,4,HRE-0034-Dzivarasekwa Main,100%,100,99.3158,99.903,95.6819,99.68,0.8559,99.8386,99.8901,100.0005,917.6397,814.5066,103.1331,37.095,66,4.0933,3.9049,14.6367,6.803,0.1697,0,0,68.9677,55.6398,9.2737,52.1278,9.8993,12.2964,2.9317,0
2026-04-23,HRE-0034-Dzivarasekwa Main,CELL_TDD,Dzivarasekwa Main_LTE_3,3,HRE-0034-Dzivarasekwa Main,100%,100,99.3408,99.7704,96.396,99.5674,1.3555,98.8463,99.1414,100.0008,998.6548,922.233,76.4218,29.9573,59,4.1979,3.2789,16.569,8.2892,0.1986,0,0,74.8609,56.2609,7.4893,49.4027,10.1833,10.0324,3.0688,0
