Parameter,Value,name,mcs ( in DL),retx (# of retransmissions requested by the UE),txok (# of successful transmissions),"bit rate (average bitrate (at the MAC layer), in bits per second in DL)",snr,mcs (UL),rxko (# of retransmissions requested by the gNB),rxok (# of received uplink transport blocks without error),bitrate UL(mbps),# of iterations of the†LDPC decoder
CenterFrequency,507000,CenterFrequency507000,0,0,0,0.00,0,0,0,0,0,0
CenterFrequency,507000,CenterFrequency507000,19,2,4,0.00,14.5,-,0,0,0,
CenterFrequency,507000,CenterFrequency507000,19,1,4,0.00,16.5,-,0,0,0,
CenterFrequency,507000,CenterFrequency507000,19,1,5,0.00,16.5,9,0,1,0.564,1
CenterFrequency,507000,CenterFrequency507000,19,0,5,0.00,14.5,10,0,1,0.612,1
CenterFrequency,507000,CenterFrequency507000,19,1,5,0.00,12.9,10,0,1,0.612,2
CenterFrequency,507000,CenterFrequency507000,18.6,7,29,0.03,13.8,10.7,0,24,0.018,1.6
CenterFrequency,507000,CenterFrequency507000,17.8,8,211,3.73,16.5,9,0,47,0.064,1.6
CenterFrequency,507000,CenterFrequency507000,19,79,2159,59.20,14.4,10.8,5,177,0.126,2.4
CenterFrequency,507000,CenterFrequency507000,18.6,58,2092,63.30,14.9,10.5,2,179,0.121,2.2
CenterFrequency,507000,CenterFrequency507000,19.5,29,2130,67.60,11.7,11.4,3,180,0.131,2.5
CenterFrequency,507000,CenterFrequency507000,19.1,67,2319,67.60,12.8,10.7,4,210,0.139,2.3
CenterFrequency,507000,CenterFrequency507000,20.3,31,2066,68.30,12.6,10.6,1,181,0.126,2.1
CenterFrequency,507000,CenterFrequency507000,20.7,35,2184,68.90,12.3,10.8,3,198,0.149,2.5
CenterFrequency,507000,CenterFrequency507000,21,24,2172,69.10,13.8,11.2,2,176,0.134,2.2
CenterFrequency,507000,CenterFrequency507000,21.1,57,1995,69.70,10.3,10.7,2,162,0.116,2.3
CenterFrequency,507000,CenterFrequency507000,18.9,65,2349,69.80,14,10.3,3,201,0.13,2.2
CenterFrequency,507000,CenterFrequency507000,20.9,25,2153,71.10,12.1,11.2,1,177,0.127,2.3
CenterFrequency,507000,CenterFrequency507000,20.3,31,2098,71.50,12.8,10.7,1,173,0.127,2.1
CenterFrequency,507000,CenterFrequency507000,19.6,40,2145,72.00,14.5,10.7,1,182,0.135,2.2
CenterFrequency,507000,CenterFrequency507000,18.1,47,2450,72.00,14.8,10.4,0,214,0.147,2
CenterFrequency,507000,CenterFrequency507000,19,28,2370,72.10,13.5,10.9,1,216,0.155,2.1
CenterFrequency,507000,CenterFrequency507000,18.8,34,2226,72.60,14.6,10.8,2,192,0.134,2.4
CenterFrequency,507000,CenterFrequency507000,18.7,59,2415,72.80,12.1,10.7,1,195,0.166,2.2
CenterFrequency,507000,CenterFrequency507000,19.1,34,2227,73.40,13.3,10.5,3,189,0.137,2.3
CenterFrequency,507000,CenterFrequency507000,19.3,44,2355,73.60,11.1,10.8,2,184,0.141,2.2
CenterFrequency,507000,CenterFrequency507000,18.4,43,2317,74.00,10.6,10.1,0,196,0.13,1.9
CenterFrequency,507000,CenterFrequency507000,18.9,56,2489,74.00,12.3,10.4,1,207,0.148,2.1
CenterFrequency,507000,CenterFrequency507000,19.6,41,2285,74.20,10.5,10.4,1,171,0.11,2.2
CenterFrequency,507000,CenterFrequency507000,18.3,36,2445,74.20,12,10.9,2,191,0.152,2.5
CenterFrequency,507000,CenterFrequency507000,21.4,17,2082,74.40,15.2,11.5,4,176,0.125,2.5
CenterFrequency,507000,CenterFrequency507000,19.6,36,2238,74.40,11.9,11,3,187,0.128,2.4
CenterFrequency,507000,CenterFrequency507000,19,61,2372,75.00,12.5,10.3,1,206,0.151,2.1
CenterFrequency,507000,CenterFrequency507000,18.7,48,2396,75.20,11.5,10.7,1,207,0.146,2.3
CenterFrequency,507000,CenterFrequency507000,20.2,22,2393,75.70,14.8,11.4,3,213,0.146,2.4
CenterFrequency,507000,CenterFrequency507000,17.9,74,2478,75.80,12.9,11,4,198,0.147,2.6
CenterFrequency,507000,CenterFrequency507000,19.7,32,2240,76.10,14.1,10.8,4,186,0.133,2.4
CenterFrequency,507000,CenterFrequency507000,19.6,34,2229,76.20,9.2,10.7,1,191,0.126,2.3
CenterFrequency,507000,CenterFrequency507000,17.6,35,2440,76.20,13.1,11.1,1,203,0.143,2.4
CenterFrequency,507000,CenterFrequency507000,18.7,71,2471,76.20,15.9,10.9,4,209,0.153,2.5
CenterFrequency,507000,CenterFrequency507000,21.3,24,2128,76.30,15.2,11.7,2,179,0.131,2.5
CenterFrequency,507000,CenterFrequency507000,21.2,18,2227,76.80,14.8,10.7,2,188,0.131,2.3
CenterFrequency,507000,CenterFrequency507000,20.5,27,2218,76.80,12.5,11.2,3,191,0.132,2.5
CenterFrequency,507000,CenterFrequency507000,18.7,60,2414,77.30,13.2,11,2,196,0.152,2.4
CenterFrequency,507000,CenterFrequency507000,18.8,36,2449,77.50,12.9,10.4,0,202,0.149,2.1
CenterFrequency,507000,CenterFrequency507000,20.3,28,2251,77.60,10.7,11,4,193,0.138,2.4
CenterFrequency,507000,CenterFrequency507000,19.6,34,2307,77.90,12.5,10.2,2,191,0.135,2.1
CenterFrequency,507000,CenterFrequency507000,21.1,23,2185,78.30,11.8,10.9,3,187,0.133,2.4
CenterFrequency,507000,CenterFrequency507000,18.8,42,2523,78.40,11.3,11,1,206,0.143,2.4
CenterFrequency,507000,CenterFrequency507000,19.6,25,2360,78.50,11,11,2,197,0.142,2.3
CenterFrequency,507000,CenterFrequency507000,20.8,23,2329,78.70,10.9,11.3,1,192,0.152,2.3
CenterFrequency,507000,CenterFrequency507000,20,32,2492,78.90,14.7,10.6,0,221,0.149,2.1
CenterFrequency,507000,CenterFrequency507000,19.7,48,2411,79.00,12.6,10.6,1,198,0.141,2.2
CenterFrequency,507000,CenterFrequency507000,18.9,40,2465,79.10,12.4,10.3,1,192,0.131,2.1
CenterFrequency,507000,CenterFrequency507000,19.2,49,2436,79.30,14.2,10.8,3,194,0.139,2.5
CenterFrequency,507000,CenterFrequency507000,22,25,2186,79.40,15.8,11.4,1,194,0.134,2.4
CenterFrequency,507000,CenterFrequency507000,18.8,48,2525,79.90,16.4,10.6,2,208,0.165,2.3
CenterFrequency,507000,CenterFrequency507000,19.8,23,2328,80.20,12.6,10.7,2,196,0.135,2.2
CenterFrequency,507000,CenterFrequency507000,20.3,57,2359,80.30,14.3,10.8,3,193,0.141,2.4
CenterFrequency,507000,CenterFrequency507000,18.9,33,2537,80.80,14.3,11,6,197,0.154,2.5
CenterFrequency,507000,CenterFrequency507000,20.9,36,2401,80.80,13,11.4,3,207,0.16,2.5
CenterFrequency,507000,CenterFrequency507000,18.7,46,2560,80.80,14.3,10.2,1,214,0.163,2.1
CenterFrequency,507000,CenterFrequency507000,20.1,28,2479,81.00,12.9,10.8,1,199,0.153,2.2
CenterFrequency,507000,CenterFrequency507000,19.6,34,2550,81.10,12.5,11.3,1,222,0.15,2.4
CenterFrequency,507000,CenterFrequency507000,20.6,47,2403,81.30,14.8,11,2,196,0.125,2.3
