Date,eNodeB Name,Cell Name,LocalCell Id,eNodeB Function Name,RACH Setup Success Rate(%),DL IBLER[%],UL IBLER[%],PDCCH CCE Usage Rate[%],PUCCHUsage Rate[%],DL Cell PDCP Layer Average Throughput(kbit/s),UL Cell PDCP Layer Average Throughput(kbit/s)
2025-09-01,MSH0013-Bindura-Zaoga,Bindura_Zaoga_LTE_6,6,MSH0013-Bindura-Zaoga,0.4281,12.9301,4.8457,24.4559,1.0213,14.6614,3.9739
2025-09-01,MSH0013-Bindura-Zaoga,Bindura_Zaoga_LTE_5,5,MSH0013-Bindura-Zaoga,0.4853,14.5511,7.3354,41.2995,8.3229,18.7512,6.6258
2025-09-01,MSH0013-Bindura-Zaoga,Bindura_Zaoga_LTE_4,4,MSH0013-Bindura-Zaoga,0.3378,17.2118,13.4365,47.557,5.9967,15.3809,3.7715
2025-09-01,MSH0013-Bindura-Zaoga,Bindura_Zaoga_LTE_3,3,MSH0013-Bindura-Zaoga,0.3744,11.1115,2.9313,28.0191,1.4887,17.4344,7.5785
2025-09-01,MSH0013-Bindura-Zaoga,Bindura_Zaoga_LTE_2,2,MSH0013-Bindura-Zaoga,0.4955,14.6098,6.5901,39.1794,7.7603,22.5335,6.9021
2025-09-01,MSH0013-Bindura-Zaoga,Bindura_Zaoga_LTE_1,1,MSH0013-Bindura-Zaoga,0.378,15.5969,9.5112,42.2105,5.2766,18.3379,4.8782
2025-09-01,MSH-0331-Chiwaridzo 2,MSH-0331-Chiwaridzo 2_LTE_6,6,MSH-0331-Chiwaridzo 2_LTE,0.4893,16.9211,5.0789,42.9769,4.6577,18.3724,7.8346
2025-09-01,MSH-0331-Chiwaridzo 2,MSH-0331-Chiwaridzo 2_LTE_5,5,MSH-0331-Chiwaridzo 2_LTE,0.5704,16.2122,4.8966,41.8915,5.0956,25.8469,9.5092
2025-09-01,MSH-0331-Chiwaridzo 2,MSH-0331-Chiwaridzo 2_LTE_4,4,MSH-0331-Chiwaridzo 2_LTE,0.2947,16.5699,6.6055,53.9036,8.5135,24.3787,7.4746
2025-09-01,MSH-0331-Chiwaridzo 2,MSH-0331-Chiwaridzo 2_LTE_3,3,MSH-0331-Chiwaridzo 2_LTE,0.2153,17.5411,4.8456,37.5611,4.9217,20.2117,8.3532
2025-09-01,MSH-0331-Chiwaridzo 2,MSH-0331-Chiwaridzo 2_LTE_2,2,MSH-0331-Chiwaridzo 2_LTE,0.5861,16.2664,5.4634,32.0411,4.9118,23.3231,7.6053
2025-09-01,MSH-0331-Chiwaridzo 2,MSH-0331-Chiwaridzo 2_LTE_1,1,MSH-0331-Chiwaridzo 2_LTE,0.2629,16.6187,6.3034,45.8664,9.6399,27.2753,8.6093
2025-09-01,MSH-0112-Bindura Hospital,MSH-0112-Bindura Hospital_LTE_1,1,MSH-0112-Bindura Hospital_LTE,0.934,13.5956,2.8952,18.4588,2.1333,19.7403,5.9042
2025-09-01,MSH-0112-Bindura Hospital,MSH-0112-Bindura Hospital_LTE_2,2,MSH-0112-Bindura Hospital_LTE,0.8404,15.2462,3.1859,19.2471,2.2198,24.1509,4.811
2025-09-01,MSH-0112-Bindura Hospital,MSH-0112-Bindura Hospital_LTE_3,3,MSH-0112-Bindura Hospital_LTE,0.8408,16.1202,4.4308,31.5627,5.2169,23.4378,5.4251
2025-09-01,MSH-0112-Bindura Hospital,MSH-0112-Bindura Hospital_LTE_4,4,MSH-0112-Bindura Hospital_LTE,0.6431,11.6633,2.5102,24.3838,2.9432,18.4248,7.1198
2025-09-01,MSH-0112-Bindura Hospital,MSH-0112-Bindura Hospital_LTE_5,5,MSH-0112-Bindura Hospital_LTE,0.6947,14.4444,2.558,20.9109,1.8888,16.4586,5.8266
2025-09-01,MSH-0112-Bindura Hospital,MSH-0112-Bindura Hospital_LTE_6,6,MSH-0112-Bindura Hospital_LTE,0.7553,16.3342,5.0746,38.3544,4.6458,20.4967,5.072
2025-09-01,MSH-0014-Chipadze,MSH-0014-Chipadze_LTE_6,6,MSH-0014-Chipadze,0.482,16.9539,4.1722,26.1465,3.6667,19.7289,10.9659
2025-09-01,MSH-0014-Chipadze,MSH-0014-Chipadze_LTE_5,5,MSH-0014-Chipadze,0.2303,18.0562,10.1771,31.16,4.866,11.4323,3.7756
2025-09-01,MSH-0014-Chipadze,MSH-0014-Chipadze_LTE_4,4,MSH-0014-Chipadze,0.5594,17.3151,5.8194,21.5718,3.7908,15.5332,4.9604
