Date,eNodeB Name,Cell FDD TDD Indication,Cell Name,LocalCell Id,eNodeB Function Name,Integrity,L.RA.TA.UE.Index0,L.RA.TA.UE.Index1,L.RA.TA.UE.Index10,L.RA.TA.UE.Index11,L.RA.TA.UE.Index2,L.RA.TA.UE.Index3,L.RA.TA.UE.Index4,L.RA.TA.UE.Index5,L.RA.TA.UE.Index6,L.RA.TA.UE.Index7,L.RA.TA.UE.Index8,L.RA.TA.UE.Index9,RACH Setup Success Rate(%)
2025-09-01,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_6,6,MSH0013-Bindura-Zaoga,100%,171,41,0,0,387,5329,1923,1125,6,26,0,0,0.4281
2025-09-01,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_5,5,MSH0013-Bindura-Zaoga,100%,80,31,0,0,610,18616,34018,7405,875,299,0,0,0.4853
2025-09-01,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_4,4,MSH0013-Bindura-Zaoga,100%,458,94,0,0,1679,1984,16077,38013,32278,4059,0,0,0.3378
2025-09-01,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_3,3,MSH0013-Bindura-Zaoga,100%,58,10,0,0,762,4478,1125,719,1,11,0,0,0.3744
2025-09-01,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_2,2,MSH0013-Bindura-Zaoga,100%,147,29,0,0,785,16130,26244,6655,1126,399,0,0,0.4955
2025-09-01,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_1,1,MSH0013-Bindura-Zaoga,100%,395,138,0,0,467,949,9905,22457,20107,3217,0,0,0.378
2025-09-01,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_6,6,MSH-0331-Chiwaridzo 2_LTE,100%,515,4423,0,0,8859,12261,11288,708,188,646,0,0,0.4893
2025-09-01,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_5,5,MSH-0331-Chiwaridzo 2_LTE,100%,886,2432,0,0,11280,5207,4705,4533,174,214,0,0,0.5704
2025-09-01,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_4,4,MSH-0331-Chiwaridzo 2_LTE,100%,1172,3638,0,0,19387,23943,14315,358,1,15,0,0,0.2947
2025-09-01,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_3,3,MSH-0331-Chiwaridzo 2_LTE,100%,399,6536,0,0,8806,11753,10688,522,67,91,0,0,0.2153
2025-09-01,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_2,2,MSH-0331-Chiwaridzo 2_LTE,100%,748,5906,0,0,10956,6979,4420,5853,54,217,0,0,0.5861
2025-09-01,MSH-0331-Chiwaridzo 2,CELL_TDD,MSH-0331-Chiwaridzo 2_LTE_1,1,MSH-0331-Chiwaridzo 2_LTE,100%,1100,4550,0,0,30908,22598,13145,172,2,3,0,0,0.2629
2025-09-01,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_1,1,MSH-0112-Bindura Hospital_LTE,100%,104,593,0,0,1004,1944,909,84177,214,237,0,0,0.934
2025-09-01,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_2,2,MSH-0112-Bindura Hospital_LTE,100%,231,199,0,0,1663,10468,5803,22,43,7,0,0,0.8404
2025-09-01,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_3,3,MSH-0112-Bindura Hospital_LTE,100%,341,2726,0,0,14260,21666,3335,1142,1038,292,0,0,0.8408
2025-09-01,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_4,4,MSH-0112-Bindura Hospital_LTE,100%,53,321,0,0,498,2088,1218,9651,186,493,0,0,0.6431
2025-09-01,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_5,5,MSH-0112-Bindura Hospital_LTE,100%,275,96,0,0,599,6219,5719,28,38,6,0,0,0.6947
2025-09-01,MSH-0112-Bindura Hospital,CELL_TDD,MSH-0112-Bindura Hospital_LTE_6,6,MSH-0112-Bindura Hospital_LTE,100%,292,1748,0,0,9765,15506,5142,1312,1987,398,0,0,0.7553
2025-09-01,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_6,6,MSH-0014-Chipadze,91%,52,175,0,0,2482,4099,5473,1080,484,42,0,0,0.482
2025-09-01,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_5,5,MSH-0014-Chipadze,91%,117,471,0,0,2771,5411,7952,2146,1437,410,0,0,0.2303
2025-09-01,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_4,4,MSH-0014-Chipadze,91%,23,426,0,0,3455,3010,7851,119,11,4,0,0,0.5594
2025-09-01,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_3,3,MSH-0014-Chipadze,91%,13,287,0,0,1541,4288,4695,776,545,52,0,0,0.5491
2025-09-01,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_2,2,MSH-0014-Chipadze,91%,302,613,0,0,4491,4850,8254,2250,867,354,0,0,0.3494
2025-09-01,MSH-0014-Chipadze,CELL_TDD,MSH-0014-Chipadze_LTE_1,1,MSH-0014-Chipadze,91%,28,474,0,0,4090,2522,6176,182,1,3,0,0,0.5547
2025-09-02,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_6,6,MSH0013-Bindura-Zaoga,100%,75,25,0,0,588,6747,2360,762,16,9,0,0,0.3751
2025-09-02,MSH0013-Bindura-Zaoga,CELL_TDD,Bindura_Zaoga_LTE_5,5,MSH0013-Bindura-Zaoga,100%,103,42,0,0,1005,16822,32497,8604,752,198,0,0,0.5311
