


Save Time :2026-06-09 11:26:04
User Name :fmboma

Date,Whole Network,Integrity,Radio Net Availability Rate(%),RRC Setup Success Rate(all),RRC Setup Success Rate(Service)[%],RRC Setup Success Rate(Signal)[%],E-RAB Setup Success Rate (ALL)(%),Call Drop Rate (All)(%),HO Success Rate(Intra Freqency),HO Success Rate(S1)[%],L.Traffic.User.Avg,L.Traffic.User.Max,DL Traffic Volume(Gbit),UL Traffic Volume(Gbit),Total Traffic (Gbit),User DL PDCP Average Throughput,User UL PDCP Average Throughput,Paging Transfer Success Rate,DL IBLER[%],UL IBLER[%],DL ReTrans Rate[%],DL Packet Loss Rate(all),UL Packet Loss Rate(all),DL PRB Usage Rate(%),UL PRB Usage Rate(%),PUCCHUsage Rate[%],PDCCH CCE Usage Rate[%],Average CQI,Average PDSCH MCS
2026-04-08,Whole Network,100%,94.9727,98.867,99.7276,95.8849,99.3394,1.6033,99.6263,92.6709,32534.3207,46968,46332.5538,4787.8749,51120.4288,5.9127,3.4137,99.9812,14.7348,7.5342,0.178,0,0,38.7903,51.2163,8133.5807,27.2059,10.3985,13.183
2026-04-09,Whole Network,100%,95.2923,98.8716,99.6931,95.7718,99.3654,1.4885,99.6156,94.7811,32098.3159,46717,46064.2298,4876.0005,50940.2303,5.9132,3.4566,99.9656,14.7061,7.4971,0.1772,0,0,38.8581,51.1542,8024.5784,27.2691,10.4088,13.1881
2026-04-10,Whole Network,100%,94.8792,98.8484,99.6959,95.5979,99.3098,1.5953,99.5399,95.3069,31368.1256,46038,45341.7592,4735.4778,50077.237,6.0465,3.4638,99.9532,14.5959,7.4525,0.1753,0,0,37.7995,50.8331,7842.0313,26.7012,10.4456,13.2584
2026-04-11,Whole Network,100%,94.4876,98.9101,99.7601,95.5036,99.4106,1.4862,99.5634,95.2308,31761.8776,46329,47389.7492,4813.7277,52203.4769,6.2723,3.4705,99.9048,14.6551,7.5789,0.177,0,0,38.905,51.3664,7940.4692,26.9493,10.4047,13.0975
2026-04-12,Whole Network,100%,95.0552,98.9515,99.7528,95.6057,99.4752,1.2696,99.5689,94.5139,31330.7954,46062,46985.4451,4780.019,51765.4641,6.0686,3.5061,99.9879,14.6588,7.5322,0.1772,0,0,38.4147,51.0408,7832.6977,26.4527,10.4401,13.1211
2026-04-13,Whole Network,100%,96.0861,98.9358,99.7458,95.5999,99.38,1.4965,99.5929,95.4879,31592.0492,45817,46043.2053,4777.6474,50820.8526,6.2332,3.4651,99.9782,14.6009,7.4004,0.1759,0,0,37.5849,50.9549,7898.01,26.6862,10.4496,13.3173
2026-04-14,Whole Network,100%,95.5782,98.7706,99.6397,95.4514,99.2625,1.6161,99.6304,95.6482,31678.5517,45832,45178.2181,4687.4986,49865.7167,6.1156,3.434,100.0007,14.6178,7.4718,0.1767,0,0,37.4976,50.8063,7919.6382,26.593,10.4354,13.2379
2026-04-15,Whole Network,100%,96.0103,98.8957,99.7129,95.6367,99.3635,1.6115,99.6095,94.9366,31686.7392,46080,45865.0806,4643.7132,50508.7938,6.1684,3.341,99.9294,14.5659,7.5389,0.1748,0,0,37.5989,50.5639,7921.6858,26.706,10.422,13.2941
2026-04-16,Whole Network,100%,95.4288,98.8417,99.693,95.6682,99.1938,2.0232,99.6284,94.9355,31952.5631,46312,44487.431,4669.1527,49156.5837,6.0893,3.3222,100,14.6675,7.6249,0.1779,0,0,37.0061,50.8908,7988.1394,26.7295,10.4349,13.281
2026-04-17,Whole Network,100%,94.9922,98.7581,99.6514,95.3289,99.2806,1.6176,99.625,95.187,31660.9151,46012,44550.5194,4579.2271,49129.7464,5.8971,3.3463,99.9976,14.6943,7.5851,0.1777,0,0,37.4305,50.8121,7915.2298,26.8361,10.4589,13.1878
2026-04-18,Whole Network,100%,96.5633,98.9359,99.763,95.6429,99.4193,1.4562,99.5345,95.5563,32330.2119,46954,48149.943,4827.5556,52977.4986,5.9966,3.4534,99.9998,14.8306,7.6639,0.1792,0,0.0001,39.4864,50.8866,8082.5538,26.8191,10.4079,13.0778
2026-04-19,Whole Network,100%,95.2381,98.9255,99.7516,95.672,99.4702,1.3329,99.4869,94.8338,30937.6631,45095,45523.5421,4561.5072,50085.0494,6.171,3.4422,99.9962,14.7477,7.6352,0.179,0,0,37.6183,50.2978,7734.4151,25.8637,10.4399,13.0637
2026-04-20,Whole Network,100%,95.2011,98.8849,99.7522,95.3766,99.3915,1.5758,99.5928,95.351,31501.3422,45717,45588.0444,4807.0769,50395.1213,6.1226,3.4352,99.9601,14.5954,7.5463,0.176,0,0,37.7902,51.0854,7875.3366,26.8925,10.4416,13.2859
2026-04-21,Whole Network,100%,95.8046,98.9297,99.7439,95.6873,99.3825,1.5862,99.5873,95.46,31653.8539,46009,45995.8018,4749.07,50744.8717,6.1337,3.4301,99.9885,14.6413,7.4941,0.1762,0,0,37.9411,50.9045,7913.4635,26.7244,10.4408,13.2571
2026-04-22,Whole Network,100%,96.4834,98.943,99.754,95.7345,99.3998,1.5273,99.5431,95.212,31488.0671,45775,46502.4307,4756.4632,51258.8939,6.127,3.433,99.9877,14.6756,7.4279,0.1768,0,0,38.1784,50.6307,7872.0182,26.7789,10.4312,13.2132
2026-04-23,Whole Network,100%,96.5799,98.9137,99.7368,95.9592,99.3772,1.5847,99.6576,96.4332,32602.4818,46987,46590.5006,4742.2317,51332.7323,6.0127,3.3452,99.9823,14.7314,7.5544,0.1782,0,0,38.4841,50.6135,8150.6205,26.9299,10.4094,13.132
2026-04-24,Whole Network,100%,95.5512,98.872,99.7349,95.7848,99.3599,1.6883,99.556,95.1958,31229.5984,45248,45771.9538,4663.3332,50435.2871,6.1707,3.2954,99.9805,14.6861,7.5629,0.1777,0,0.0001,38.0399,50.6588,7807.4007,26.7565,10.4133,13.0948
2026-04-25,Whole Network,100%,95.4728,98.8382,99.7153,95.5137,99.3215,1.5577,99.4981,95.565,30770.0026,45168,46524.4391,4829.5345,51353.9736,6.4393,3.4914,99.9614,14.7854,7.6282,0.1795,0,0,38.2293,51.065,7692.5023,26.1991,10.4079,13.0313
2026-04-26,Whole Network,100%,95.2529,98.8667,99.7406,95.7416,99.4217,1.3634,99.5335,94.4484,30224.9931,44928,44353.2184,4618.9259,48972.1442,6.5254,3.4005,99.9317,14.7054,7.6691,0.1783,0,0,36.0713,50.6975,7556.2492,25.4175,10.4544,13.0972
