site_name,mae_ne_name,first_date,last_date,record_count,cell_count,local_cell_ids,cell_names,total_traffic_gbit,total_traffic_gb,avg_dl_prb_usage,avg_ul_prb_usage,avg_availability,avg_rrc_success,avg_erab_success,avg_call_drop,source
BY0-0083-Selborne Park,BY0-0083-Selborne Park,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Selborne Park 1_LTE_1|Selborne Park 1_LTE_2|Selborne Park 1_LTE_3|Selborne Park 1_LTE_4|Selborne Park 1_LTE_5|Selborne Park 1_LTE_6,26460.5276,3307.566,33.6505,49.7977,99.9999,99.1337,99.7705,0.6975,MAE raw KPI export
BYO-0004-Anchor House,BYO-0004-Anchor House,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Anchor House LTE_1|Anchor House LTE_2|Anchor House LTE_3|Anchor House LTE_4|Anchor House LTE_5|Anchor House LTE_6,10471.961,1308.9951,16.7558,44.9803,100.0,99.7687,99.7046,1.4054,MAE raw KPI export
BYO-0005-Barbourfields,BYO-0005-Barbourfields,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Barbourfields_LTE_1|Barbourfields_LTE_2|Barbourfields_LTE_3|Barbourfields_LTE_4|Barbourfields_LTE_5|Barbourfields_LTE_6,22918.7455,2864.8432,37.3209,55.0858,100.0,99.3801,99.6928,1.1656,MAE raw KPI export
BYO-0007-Bellevue,BYO-0007-Bellevue,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Bellevue_LTE_1|Bellevue_LTE_2|Bellevue_LTE_3|Bellevue_LTE_4|Bellevue_LTE_5|Bellevue_LTE_6,11314.2121,1414.2765,19.1769,48.211,99.9999,99.2198,99.7862,0.8455,MAE raw KPI export
BYO-0008-Belmont,BYO-0008-Belmont,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Belmont_LTE_1|Belmont_LTE_2|Belmont_LTE_3|Belmont_LTE_4|Belmont_LTE_5|Belmont_LTE_6,8729.0235,1091.1279,14.4398,42.147,100.0,99.4367,99.7695,1.1212,MAE raw KPI export
BYO-0009-Famona,BYO-0009-Famona,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,BYO-0009-Famona_LTE_1|BYO-0009-Famona_LTE_2|BYO-0009-Famona_LTE_3|BYO-0009-Famona_LTE_4|BYO-0009-Famona_LTE_5|BYO-0009-Famona_LTE_6,4324.1804,540.5226,8.7284,15.8457,100.0,98.9429,99.7879,1.4135,MAE raw KPI export
BYO-0012-Cowdray Park,BYO-0012-Cowdray Park,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,BYO-0012-Cowdray Park_LTE_1|BYO-0012-Cowdray Park_LTE_2|BYO-0012-Cowdray Park_LTE_3|BYO-0012-Cowdray Park_LTE_4|BYO-0012-Cowdray Park_LTE_5|BYO-0012-Cowdray Park_LTE_6,19655.5342,2456.9418,26.0217,52.0124,100.0,99.6619,99.7799,0.6806,MAE raw KPI export
BYO-0014-Cowdray Park 3,BYO-0014-Cowdray Park 3,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Cowdray Park 3_LTE_1|Cowdray Park 3_LTE_2|Cowdray Park 3_LTE_3|Cowdray Park 3_LTE_4|Cowdray Park 3_LTE_5|Cowdray Park 3_LTE_6,21257.2441,2657.1555,37.5552,51.2651,100.0,99.6635,99.6392,0.7322,MAE raw KPI export
BYO-0015-Donnington,BYO-0015-Donnington,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Donnington_LTE_1|Donnington_LTE_2|Donnington_LTE_3|Donnington_LTE_4|Donnington_LTE_5|Donnington_LTE_6,10071.3158,1258.9145,20.4442,42.0048,100.0,97.6869,99.4734,1.9734,MAE raw KPI export
BYO-0020-Emakhandeni 2,BYO-0020-Emakhandeni 2,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Emakhandeni 2_LTE_1|Emakhandeni 2_LTE_2|Emakhandeni 2_LTE_3|Emakhandeni 2_LTE_4|Emakhandeni 2_LTE_5|Emakhandeni 2_LTE_6,23298.2887,2912.2861,32.9718,54.4694,100.0,99.658,99.774,1.0524,MAE raw KPI export
BYO-0021-Entumbane,BYO-0021-Entumbane,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Entumbane_LTE_1|Entumbane_LTE_2|Entumbane_LTE_3|Entumbane_LTE_4|Entumbane_LTE_5|Entumbane_LTE_6,19869.6492,2483.7061,32.1808,52.7431,100.0,99.6554,99.7495,0.6165,MAE raw KPI export
BYO-0022-Fairspire,BYO-0022-Fairspire,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Fairspire_LTE_1|Fairspire_LTE_2|Fairspire_LTE_3|Fairspire_LTE_4|Fairspire_LTE_5|Fairspire_LTE_6,19628.8959,2453.612,24.6302,51.6885,100.0,99.0413,99.6512,1.0198,MAE raw KPI export
BYO-0024-Fortunes Gate,BYO-0024-Fortunes Gate,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Fortunes_Gate_LTE_1|Fortunes_Gate_LTE_2|Fortunes_Gate_LTE_3|Fortunes_Gate_LTE_4|Fortunes_Gate_LTE_5|Fortunes_Gate_LTE_6,14581.6373,1822.7047,19.0153,48.2594,100.0,98.8711,99.8123,0.7159,MAE raw KPI export
BYO-0028-Hillcrest,BYO-0028-Hillcrest,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Hillcrest_LTE_1|Hillcrest_LTE_2|Hillcrest_LTE_3|Hillcrest_LTE_4|Hillcrest_LTE_5|Hillcrest_LTE_6,15985.1706,1998.1463,28.5699,47.8252,100.0,99.7518,99.776,0.6138,MAE raw KPI export
BYO-0029-Hillside Bulawayo,BYO-0029-Hillside Bulawayo,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Hillside Bulawayo_LTE_1|Hillside Bulawayo_LTE_2|Hillside Bulawayo_LTE_3|Hillside Bulawayo_LTE_4|Hillside Bulawayo_LTE_5|Hillside Bulawayo_LTE_6,8358.516,1044.8145,12.5664,45.5873,100.0,98.4249,99.4778,1.1349,MAE raw KPI export
BYO-0032-Ilanda,BYO-0032-Ilanda,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Ilanda_LTE_1|Ilanda_LTE_2|Ilanda_LTE_3|Ilanda_LTE_4|Ilanda_LTE_5|Ilanda_LTE_6,6435.0267,804.3783,8.6133,39.3465,100.0,99.1968,99.724,1.244,MAE raw KPI export
BYO-0034-Khumalo,BYO-0034-Khumalo,2026-04-23,2026-04-29,42,6,1|2|3|4|5|6,Khumalo_LTE_1|Khumalo_LTE_2|Khumalo_LTE_3|Khumalo_LTE_4|Khumalo_LTE_5|Khumalo_LTE_6,8905.0728,1113.1341,14.8115,43.139,100.0,97.1921,99.3216,1.5882,MAE raw KPI export
